"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"universidade estadual paulista julio de mesquita filho unesp","Universidade Estadual Paulista ""Julio de Mesquita Filho"" (UNESP)","3","3","Universidade Estadual Paulista ""Julio de Mesquita Filho"" (UNESP):3"
"universidade federal de santa catarina","Universidade Federal de Santa Catarina","3","3","Universidade Federal de Santa Catarina:3"
"universidade federal de minas gerais","Universidade Federal de Minas Gerais","3","3","Universidade Federal de Minas Gerais:3"
"universidad adolfo ibanez","Universidad Adolfo Ibanez","3","3","Universidad Adolfo Ibanez:3"
"united arab emirates university","United Arab Emirates University","3","3","United Arab Emirates University:3"
"the education university of hong kong","The Education University of Hong Kong","3","3","The Education University of Hong Kong:3"
"universidad anahuac","Universidad Anahuac","3","3","Universidad Anahuac:3"
"ulsan national institute of science and technology","Ulsan National Institute of Science and Technology","3","3","Ulsan National Institute of Science and Technology:3"
"ucsi university","UCSI University","3","3","UCSI University:3"
"umea university","Umea University","3","3","Umea University:3"
"gulf university for science and technology gust","Gulf University for Science and Technology (GUST)","3","3","Gulf University for Science and Technology (GUST):3"
"universidad catolica andres bello ucab","Universidad Catolica Andres Bello - UCAB","3","3","Universidad Catolica Andres Bello - UCAB:3"
"hasanuddin university","Hasanuddin University","3","3","Hasanuddin University:3"
"universidad central de venezuela ucv","Universidad Central de Venezuela - UCV","3","3","Universidad Central de Venezuela - UCV:3"
"universidad catolica del uruguay ucu","Universidad Catolica del Uruguay (UCU)","3","3","Universidad Catolica del Uruguay (UCU):3"
"universidad autonoma metropolitana uam","Universidad Autonoma Metropolitana (UAM)","3","3","Universidad Autonoma Metropolitana (UAM):3"
"universidad austral argentina","Universidad Austral - Argentina","3","3","Universidad Austral - Argentina:3"
"universidad carlos 3 de madrid","Universidad Carlos 3 de Madrid","3","3","Universidad Carlos 3 de Madrid:3"
