"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"justus liebig universitat giessen","Justus-Liebig-Universitat Giessen","2","4","Justus-Liebig-Universitat Giessen:3 || Justus Liebig Universitat Giessen:1"
"sofia university st kliment ohridski","Sofia University ""St. Kliment Ohridski""","2","4","Sofia University ""St. Kliment Ohridski"":3 || Sofia University St Kliment Ohridski:1"
"universita vita salute san raffaele","Universita Vita-Salute San Raffaele","2","4","Universita Vita-Salute San Raffaele:3 || Universita Vita Salute San Raffaele:1"
"nanjing university of science and technology","Nanjing University of Science and Technology","2","4","Nanjing University of Science and Technology:3 || Nanjing University of Science & Technology:1"
"university of agriculture faisalabad","University of Agriculture, Faisalabad","2","4","University of Agriculture, Faisalabad:3 || University of Agriculture Faisalabad:1"
"bar ilan university","Bar-Ilan University","2","4","Bar-Ilan University:3 || Bar Ilan University:1"
"rheinische friedrich wilhelms universitat bonn","Rheinische Friedrich-Wilhelms-Universitat Bonn","2","4","Rheinische Friedrich-Wilhelms-Universitat Bonn:3 || Rheinische Friedrich Wilhelms Universitat Bonn:1"
"macau university of science and technology","Macau University of Science and Technology","2","4","Macau University of Science and Technology:3 || Macau University of Science & Technology:1"
"national sun yat sen university","National Sun Yat-sen University","2","4","National Sun Yat-sen University:3 || National Sun Yat Sen University:1"
"university of kwazulu natal","University of Kwazulu-Natal","2","4","University of Kwazulu-Natal:3 || University of Kwazulu Natal:1"
"umm al qura university","Umm Al-Qura University","2","4","Umm Al-Qura University:3 || Umm Al Qura University:1"
"universidade federal de sao paulo unifesp","Universidade Federal de Sao Paulo (UNIFESP)","2","4","Universidade Federal de Sao Paulo (UNIFESP):3 || Universidade Federal de Sao Paulo UNIFESP:1"
"universidade estadual de campinas unicamp","Universidade Estadual de Campinas (Unicamp)","2","4","Universidade Estadual de Campinas (Unicamp):3 || Universidade Estadual de Campinas UNICAMP:1"
"ruhr universitat bochum","Ruhr-Universitat Bochum","2","4","Ruhr-Universitat Bochum:3 || Ruhr Universitat Bochum:1"
"chung ang university","Chung-Ang University","2","4","Chung-Ang University:3 || Chung Ang University:1"
"universitat duisburg essen","Universitat Duisburg-Essen","2","4","Universitat Duisburg-Essen:3 || Universitat Duisburg Essen:1"
"goldsmiths university of london","Goldsmiths, University of London","2","4","Goldsmiths, University of London:3 || Goldsmiths University of London:1"
"martin luther universitat halle wittenberg","Martin-Luther-Universitat Halle-Wittenberg","2","4","Martin-Luther-Universitat Halle-Wittenberg:3 || Martin Luther Universitat Halle Wittenberg:1"
"kingston university london","Kingston University, London","2","4","Kingston University, London:3 || Kingston University London:1"
"al ahliyya amman university","Al-Ahliyya Amman University","2","4","Al-Ahliyya Amman University:3 || Al Ahliyya Amman University:1"
"vietnam national university hanoi","Vietnam National University, Hanoi","2","4","Vietnam National University, Hanoi:3 || Vietnam National University Hanoi:1"
"government college university faisalabad","Government College University, Faisalabad","2","4","Government College University, Faisalabad:3 || Government College University Faisalabad:1"
"karl franzens universitat graz","Karl-Franzens-Universitat Graz","2","4","Karl-Franzens-Universitat Graz:3 || Karl Franzens Universitat Graz:1"
"universidade de brasilia unb","Universidade de Brasilia (UnB)","2","4","Universidade de Brasilia (UnB):3 || Universidade de Brasilia UNB:1"
"university at albany suny","University at Albany SUNY","2","4","University at Albany SUNY:3 || University at Albany--SUNY:1"
"huazhong university of science and technology","Huazhong University of Science and Technology","2","4","Huazhong University of Science and Technology:3 || Huazhong University of Science & Technology:1"
"christian albrechts universitat zu kiel","Christian-Albrechts-Universitat zu Kiel","2","4","Christian-Albrechts-Universitat zu Kiel:3 || Christian Albrechts Universitat zu Kiel:1"
"university of milano bicocca","University of Milano-Bicocca","2","4","University of Milano-Bicocca:3 || University of Milano Bicocca:1"
"china university of mining and technology","China University of Mining and Technology","2","4","China University of Mining and Technology:3 || China University of Mining & Technology:1"
"pontificia universidade catolica do rio de janeiro puc rio","Pontificia Universidade Catolica do Rio de Janeiro (PUC - Rio)","2","4","Pontificia Universidade Catolica do Rio de Janeiro (PUC - Rio):3 || Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO:1"
"philipps universitat marburg","Philipps-Universitat Marburg","2","4","Philipps-Universitat Marburg:3 || Philipps Universitat Marburg:1"
"university of science and technology beijing","University of Science and Technology Beijing","2","4","University of Science and Technology Beijing:3 || University of Science & Technology Beijing:1"
"east china university of science and technology","East China University of Science and Technology","2","4","East China University of Science and Technology:3 || East China University of Science & Technology:1"
"university of roma tor vergata","University of Roma, Tor Vergata","2","4","University of Roma, Tor Vergata:3 || University of Roma Tor Vergata:1"
"daegu gyeongbuk institute of science and technology dgist","Daegu Gyeongbuk Institute of Science and Technology (DGIST)","2","4","Daegu Gyeongbuk Institute of Science and Technology (DGIST):3 || Daegu Gyeongbuk Institute of Science & Technology DGIST:1"
"university of naples federico 2","University of Naples, Federico 2","2","4","University of Naples, Federico 2:3 || University of Naples Federico 2:1"
"iscte instituto universitario de lisboa","ISCTE - Instituto Universitario de Lisboa","2","4","ISCTE - Instituto Universitario de Lisboa:3 || ISCTE Instituto Universitario de Lisboa:1"
"north west university","North-West University","2","4","North-West University:3 || North West University:1"
"university of chemistry and technology prague","University of Chemistry and Technology, Prague","2","4","University of Chemistry and Technology, Prague:3 || University of Chemistry and Technology Prague:1"
"university of electronic science and technology of china","University of Electronic Science and Technology of China","2","4","University of Electronic Science and Technology of China:3 || University of Electronic Science & Technology of China:1"
"university of north carolina wilmington","University of North Carolina Wilmington","2","3","University of North Carolina Wilmington:2 || University of North Carolina, Wilmington:1"
"california state university long beach","California State University - Long Beach","2","3","California State University - Long Beach:2 || California State University Long Beach:1"
"college of william and mary","College of William & Mary","2","3","College of William & Mary:2 || College of William and Mary:1"
"university of california merced","University of California, Merced","2","3","University of California, Merced:2 || University of California Merced:1"
"providence college","Providence College","2","2","Providence College:2"
"loyola university maryland","Loyola University Maryland","2","2","Loyola University Maryland:2"
"thomas jefferson university","Thomas Jefferson University","2","2","Thomas Jefferson University:2"
"university of north florida","University of North Florida","2","2","University of North Florida:2"
"webster university","Webster University","2","2","Webster University:2"
"wellesley college","Wellesley College","2","2","Wellesley College:2"
"loyola university chicago","Loyola University Chicago","2","2","Loyola University Chicago:2"
"university of lyon i","University of Lyon I","2","2","University of Lyon I:2"
"southern illinois university edwardsville","Southern Illinois University Edwardsville","2","2","Southern Illinois University Edwardsville:1 || Southern Illinois University-Edwardsville:1"
